run_id,family,model,eval_level,split,scope,test_acc,train_acc,balanced_acc,weighted_f1,wt_precision,wt_recall,wt_f1,ht_precision,ht_recall,ht_f1,auc,avg_precision,mcc,ht_support,wt_support,num_test,threshold,legacy_baseline_acc,source_path
H_cv_Dsampler__bilstm__dependent,sequence,bilstm,session,dependent,H_cv_Dsampler,0.5907,,0.6109,,,,0.6807,0.3214,0.6495,0.43,0.6318,0.3274,0.189,97,311,408,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
H_cv_Dsampler__bilstm__independent,sequence,bilstm,session,independent,H_cv_Dsampler,0.5662,,0.5594,,,,0.6679,0.2849,0.5464,0.3746,0.586,0.3199,0.1015,97,311,408,0.5,,results/neural_networks/experiments/_summary/master_metrics.csv
bilstm_dependent_baseline,sequence,bilstm,session,dependent,pooled,0.2317,,,,,,0.0,0.2317,1.0,0.3762,0.7903,,,19,63,82,0.5,,results/neural_networks/executive_summaries/sequence_models/master_metrics.csv
bilstm_independent_baseline,sequence,bilstm,session,independent,pooled,0.4556,,,,,,0.4731,0.2794,1.0,0.4368,0.7487,,,19,71,90,0.5,,results/neural_networks/executive_summaries/sequence_models/master_metrics.csv
cnn1d_dependent_baseline,sequence,cnn1d,session,dependent,pooled,0.5,,,,,,0.5773,0.2708,0.6842,0.3881,0.604,,,19,63,82,0.5,,results/neural_networks/executive_summaries/sequence_models/master_metrics.csv
cnn1d_independent_baseline,sequence,cnn1d,session,independent,pooled,0.6333,,,,,,0.7556,0.2308,0.3158,0.2667,0.6093,,,19,71,90,0.5,,results/neural_networks/executive_summaries/sequence_models/master_metrics.csv
transformer_dependent_baseline,sequence,transformer,session,dependent,pooled,0.6585,,,,,,0.7455,0.3714,0.6842,0.4815,0.655,,,19,63,82,0.5,,results/neural_networks/executive_summaries/sequence_models/master_metrics.csv
transformer_independent_baseline,sequence,transformer,session,independent,pooled,0.5444,,,,,,0.6239,0.2885,0.7895,0.4225,0.6753,,,19,71,90,0.5,,results/neural_networks/executive_summaries/sequence_models/master_metrics.csv
tabpfn_subject_eval_dependent_baseline,tabular,tabpfn,recording,dependent,pooled,0.781,0.888,0.8277,0.794,0.962,0.733,0.832,0.55,0.918,0.688,0.9081,,,,,,0.5,0.829,results/tabular_models/tabpfn_subject_eval_dependent_baseline/comparison_vs_baseline.txt
tabpfn_subject_eval_independent_baseline,tabular,tabpfn,recording,independent,pooled,0.729,0.911,0.662,0.743,0.898,0.709,0.792,0.499,0.782,0.61,0.783,,,,,,0.5,0.829,results/tabular_models/tabpfn_subject_eval_independent_baseline/comparison_vs_baseline.txt
xgboost_subject_eval_dependent_baseline,tabular,xgboost,recording,dependent,pooled,0.733,0.771,0.7948,0.749,0.968,0.66,0.785,0.496,0.94,0.649,0.8761,,,,,,0.5,0.829,results/tabular_models/xgboost_subject_eval_dependent_baseline/comparison_vs_baseline.txt
xgboost_subject_eval_independent_baseline,tabular,xgboost,recording,independent,pooled,0.693,0.806,0.6778,0.706,0.841,0.713,0.772,0.452,0.637,0.529,0.7701,,,,,,0.5,0.829,results/tabular_models/xgboost_subject_eval_independent_baseline/comparison_vs_baseline.txt
xgboost_tuned_dependent_subject_eval_dependent_baseline,tabular,xgboost_tuned,recording,dependent,pooled,0.772,0.875,0.7983,0.785,0.931,0.747,0.829,0.543,0.844,0.661,0.8849,,,,,,0.5,0.829,results/tabular_models/xgboost_tuned_dependent_subject_eval_dependent_baseline/comparison_vs_baseline.txt
xgboost_tuned_independent_subject_eval_independent_baseline,tabular,xgboost_tuned,recording,independent,pooled,0.702,0.714,0.7253,0.719,0.929,0.64,0.758,0.473,0.869,0.612,0.753,,,,,,0.5,0.829,results/tabular_models/xgboost_tuned_independent_subject_eval_independent_baseline/comparison_vs_baseline.txt
tabpfn_strain1_subject_eval_dependent_baseline,tabular,tabpfn,recording,dependent,strain1,0.785,0.847,,0.801,0.987,0.728,0.838,0.523,0.969,0.68,,,,,,,0.5,0.829,results/tabular_models/strain/tabpfn_strain1_subject_eval_dependent_baseline/comparison_vs_baseline.txt
tabpfn_strain1_subject_eval_independent_baseline,tabular,tabpfn,recording,independent,strain1,0.897,0.859,,0.905,0.984,0.892,0.935,0.629,0.925,0.749,,,,,,,0.5,0.829,results/tabular_models/strain/tabpfn_strain1_subject_eval_independent_baseline/comparison_vs_baseline.txt
xgboost_strain1_subject_eval_dependent_baseline,tabular,xgboost,recording,dependent,strain1,0.774,0.811,,0.791,0.967,0.73,0.832,0.512,0.919,0.657,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_strain1_subject_eval_dependent_baseline/comparison_vs_baseline.txt
xgboost_strain1_subject_eval_independent_baseline,tabular,xgboost,recording,independent,strain1,0.903,0.793,,0.909,0.979,0.903,0.939,0.648,0.9,0.753,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_strain1_subject_eval_independent_baseline/comparison_vs_baseline.txt
xgboost_tuned_dependent_strain1_subject_eval_dependent_baseline,tabular,xgboost_tuned,recording,dependent,strain1,0.789,0.903,,0.802,0.936,0.776,0.849,0.533,0.829,0.649,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_tuned_dependent_strain1_subject_eval_dependent_baseline/comparison_vs_baseline.txt
xgboost_tuned_dependent_strain1_subject_eval_independent_baseline,tabular,xgboost_tuned,recording,independent,strain1,0.899,0.903,,0.903,0.963,0.914,0.938,0.655,0.821,0.729,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_tuned_dependent_strain1_subject_eval_independent_baseline/comparison_vs_baseline.txt
tabpfn_strain2_subject_eval_dependent_baseline,tabular,tabpfn,recording,dependent,strain2,0.801,0.926,,0.809,0.928,0.785,0.851,0.604,0.842,0.703,,,,,,,0.5,0.829,results/tabular_models/strain/tabpfn_strain2_subject_eval_dependent_baseline/comparison_vs_baseline.txt
tabpfn_strain2_subject_eval_independent_baseline,tabular,tabpfn,recording,independent,strain2,0.654,0.941,,0.659,0.775,0.743,0.759,0.369,0.41,0.388,,,,,,,0.5,0.829,results/tabular_models/strain/tabpfn_strain2_subject_eval_independent_baseline/comparison_vs_baseline.txt
xgboost_strain2_subject_eval_dependent_baseline,tabular,xgboost,recording,dependent,strain2,0.748,0.845,,0.759,0.907,0.724,0.805,0.532,0.808,0.642,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_strain2_subject_eval_dependent_baseline/comparison_vs_baseline.txt
