trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
174,3,20,0.15,1.5,0.05,1.0,1.0,0.5,0.7749370491669736,0.6704931054849309,0.9705871731034449,0.5792869252305025,0.4253631827601968,0.9827816818659396,1.8
93,4,2,0.15,1.0,0.2,2.0,1.0,0.5,0.773973254140036,0.6721762678972485,0.9641784271041451,0.5837680811759268,0.4284302498386384,0.9814948088544362,7.6
144,5,12,0.03,10.0,2.0,0.1,0.8,0.8,0.773345762144437,0.6757444491505837,0.9510815709113281,0.5956099533775456,0.4291809377626776,0.9633673444404647,11.0
177,5,8,0.08,1.5,0.05,2.0,1.0,0.7,0.7731852554795168,0.680416863252731,0.9515499427205919,0.594820568238442,0.4315879314748855,0.9776230365802332,4.2
7,4,5,0.08,3.0,0.5,2.0,0.8,0.5,0.7730006739875005,0.673527715378384,0.9534791794164355,0.5925221685585658,0.4291458132406511,0.9710329711729411,3.8
61,4,12,0.1,3.0,0.05,1.0,0.7,0.6,0.7726225986461678,0.6735008786765468,0.962815032873294,0.5824301644190417,0.4265169257812981,0.9838624967090384,7.0
121,4,3,0.05,6.0,2.0,2.0,0.6,0.5,0.771945826203493,0.6695778367226671,0.9627999893947216,0.5810916630122643,0.42553895549187015,0.9763868433714293,12.4
34,4,1,0.15,3.0,1.0,2.0,0.8,0.5,0.7716956541927253,0.6729203401072343,0.949943825881082,0.5934474825043687,0.42913461035641765,0.9686062023265334,4.4
158,3,12,0.05,1.0,0.05,4.0,0.9,0.5,0.7707616297893247,0.6686719638611477,0.9620969917871767,0.5794262677914729,0.42332801822317234,0.9782001041917014,6.0
108,5,20,0.02,1.5,2.0,1.0,0.9,0.5,0.7705667742671716,0.6724772961341856,0.9527210293666247,0.5884125191677185,0.4279767065766048,0.9706913206563194,3.8
39,5,1,0.02,3.0,0.2,0.5,1.0,0.7,0.7704941467418172,0.6799434728046906,0.9480444157293746,0.5929438777542597,0.43085698867683736,0.978516885613344,7.0
37,5,1,0.1,1.0,2.0,0.1,0.7,0.7,0.7702138065062352,0.6735097291943026,0.9440020590037417,0.5964255540087287,0.42896710894894385,0.9579334744949088,2.6
90,4,5,0.08,6.0,0.0,1.0,0.8,0.5,0.7699078614620071,0.6732510902054932,0.9445176125280392,0.5952981103959748,0.42998112411077055,0.9666444369543152,9.2
119,4,3,0.02,6.0,0.05,1.0,0.7,0.5,0.7698677829251309,0.6694642714958393,0.9475630844786489,0.592172481371613,0.42703351062596323,0.9583176653863971,18.4
81,6,12,0.08,1.5,1.0,1.0,0.8,0.6,0.7693257811068849,0.6736369847001265,0.9446732957079602,0.5939782665058095,0.429720332447426,0.9638851175213692,2.8
100,4,2,0.03,10.0,2.0,0.5,0.8,0.6,0.7690344170247542,0.6717919960382892,0.9564712882791889,0.5815975457703194,0.42396723443022405,0.9796573931201603,9.8
160,4,2,0.05,10.0,0.05,1.0,0.6,0.8,0.7689885630743262,0.6679835926174098,0.9514628506044932,0.5865142755441592,0.4241001141580608,0.9616538167124042,3.6
33,5,20,0.08,1.0,0.0,1.0,0.9,0.5,0.7671636574135853,0.6684048269209082,0.9450810406290749,0.5892462741980956,0.4273104016494271,0.9637032285375854,9.2
196,6,8,0.02,10.0,0.0,0.5,1.0,0.6,0.7656905977710952,0.6718666134732932,0.9389465305569787,0.5924346649852115,0.4276100658077654,0.9628419013886831,6.6
98,4,3,0.02,6.0,2.0,0.0,0.6,0.7,0.7656733996226663,0.6638456677170987,0.9481261969136696,0.5832206023316628,0.42161115911841673,0.9585928982362132,5.4
70,5,5,0.03,0.5,2.0,2.0,0.9,0.5,0.7655577956647327,0.6712687014478224,0.9414544319430623,0.5896611593864033,0.42750366054030514,0.9665731362559165,4.2
114,3,1,0.05,6.0,0.5,4.0,0.7,0.8,0.7653338052766723,0.6618514574332942,0.9484927979538756,0.5821748125994687,0.4186218779015978,0.9606895729476375,13.4
11,4,20,0.1,1.0,0.0,1.0,0.9,0.8,0.7642058580341723,0.6677203237849847,0.9270992813049951,0.6013124347633497,0.42522621247128783,0.9446011190989682,7.4
30,5,12,0.1,1.5,0.5,1.0,0.8,0.8,0.7641492109510386,0.6737612958347847,0.9219297320486671,0.6063686898534102,0.42916116509397834,0.9441060044636395,3.0
44,6,1,0.08,6.0,1.0,0.0,0.8,0.6,0.7633814132562551,0.678268570909072,0.9217339021534132,0.605028924359097,0.43116229249140436,0.9570023735968325,2.8
175,7,20,0.03,6.0,0.0,0.1,1.0,0.8,0.7631806279963197,0.6730274620277776,0.9254129282120596,0.6009483277805799,0.429039886869349,0.9516631881854849,9.4
104,5,20,0.03,3.0,0.0,4.0,0.6,0.8,0.762945780794604,0.6670685974011383,0.9233086100869834,0.6025829515022246,0.4260210343083729,0.9379588576969257,1.4
