trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
72,8,5,0.02,10.0,1.0,0.5,0.8,0.5,0.8152487684222217,0.7635436959647135,0.9173329615264363,0.7131645753180073,0.5135705313341946,0.9643189366681177,280.0
101,6,1,0.15,3.0,1.0,4.0,0.8,0.5,0.8152267600908056,0.7570506625995803,0.9300800229844264,0.7003734971971849,0.5045697861127566,0.9686167168928048,48.4
99,7,8,0.08,10.0,0.0,0.0,0.7,0.8,0.8150426082740798,0.772365270046506,0.89927582156649,0.7308093949816696,0.5234766356930497,0.9574089910553567,115.4
9,8,8,0.03,1.0,0.5,0.1,0.7,0.8,0.8149233690251185,0.7628303607172151,0.9177596944423317,0.712087043607905,0.5114323138787655,0.9640382956347244,119.6
43,6,1,0.1,6.0,0.0,4.0,1.0,0.7,0.8148990390459616,0.7527884549085472,0.9375034856896596,0.692294592402264,0.4996101500023055,0.9713853459810498,41.0
86,7,12,0.1,1.5,0.5,2.0,0.9,0.7,0.8147997339266585,0.7699332512094744,0.9033699225120626,0.7262295453412546,0.5197398546737776,0.9585431714765733,73.0
0,6,8,0.05,6.0,1.0,0.1,0.8,0.7,0.8144760987647166,0.7573528639923928,0.9272306301281888,0.7017215674012445,0.504930927296386,0.9675178616775642,128.8
52,7,5,0.08,3.0,1.0,1.0,1.0,0.8,0.8144755859137129,0.7690181567824736,0.9042031079676528,0.7247480638597732,0.5188128322426528,0.958766474947786,67.0
94,8,1,0.03,0.5,0.2,2.0,0.7,0.5,0.8143815460909064,0.766384790414355,0.9091287043374654,0.7196343878443475,0.5161325726527075,0.960625659100789,107.0
134,8,3,0.1,6.0,1.0,0.5,0.8,0.6,0.8143325318835771,0.7729743553328536,0.8959735003084308,0.7326915634587235,0.5245375667350232,0.956430263205316,59.0
85,8,8,0.15,1.0,0.5,2.0,1.0,1.0,0.814302784230082,0.770844898080998,0.9000887266458794,0.7285168418142846,0.5210769868742109,0.9573638607302692,26.8
115,8,2,0.1,1.0,2.0,0.5,0.8,0.7,0.8142814371262748,0.7833223217382267,0.8754032837309133,0.7531595905216363,0.5379546169076594,0.9492245213212527,61.2
2,8,12,0.03,3.0,1.0,0.0,0.9,0.6,0.8142647497778158,0.7528919844849712,0.9354298172231095,0.6930996823325222,0.5002750591283674,0.9708411073353369,86.4
89,6,8,0.03,3.0,0.5,0.1,0.7,0.8,0.8142588565766701,0.7461933327364431,0.9486120617537456,0.6799056513995948,0.4931840120770885,0.9763716729878137,110.2
38,7,1,0.08,0.5,0.5,0.0,1.0,0.8,0.8142386749493339,0.7744986379583063,0.892684699301172,0.7357926505974959,0.5255099406697255,0.9547577594611532,67.0
63,6,3,0.08,3.0,0.05,0.5,0.9,0.5,0.8141682705551151,0.7629306485623694,0.9153049239063386,0.7130316172038917,0.5117135272993721,0.963016291428823,91.2
120,6,3,0.03,0.5,1.0,4.0,0.9,0.6,0.8140618155465438,0.7417310639156203,0.9568340642718922,0.6712895668211953,0.48838903443774634,0.9795632870710677,73.4
126,8,2,0.15,3.0,0.2,1.0,0.6,0.8,0.813936182817794,0.7792669159197821,0.8823881833008003,0.745484182334788,0.5323540695651963,0.9512742427591343,35.4
53,8,20,0.05,3.0,1.0,0.1,0.9,0.6,0.8137512522177488,0.7583694297537417,0.9230900533204892,0.7044124511150083,0.5065051575381084,0.9659723405230146,102.0
150,7,1,0.03,3.0,0.0,2.0,0.7,0.5,0.8137346808017597,0.7522841341438691,0.9350351949028655,0.6924341667006539,0.4998149716253475,0.9706083918261241,117.8
140,8,5,0.15,1.0,0.05,2.0,0.8,0.6,0.8136065728584297,0.7708446408007384,0.8980243533517547,0.7291887923651046,0.5214305156844297,0.956671383324783,29.6
48,7,5,0.03,0.5,0.5,2.0,0.9,0.5,0.8135804286028065,0.7566424102838006,0.9259825419761537,0.7011783152294593,0.5059163188840359,0.9673536586437222,140.2
164,8,20,0.03,1.0,0.0,2.0,0.8,1.0,0.8135304870391092,0.7561351050681123,0.926820797525794,0.7002401765524242,0.503619822050541,0.9672650613026118,136.0
176,8,2,0.15,1.0,0.5,4.0,0.8,0.5,0.8135070713786995,0.7723679457612048,0.8947262571720704,0.7322878855853283,0.5230104887665811,0.9552880754409868,50.8
111,8,1,0.1,0.5,0.5,0.1,0.7,0.5,0.8135030555536249,0.7798761041182337,0.8799072172788804,0.747098893828369,0.5341029232157213,0.9506393813605063,46.8
74,8,20,0.08,1.5,0.05,2.0,1.0,0.7,0.8131575817664611,0.761410996981588,0.9153023888593133,0.7110127746736092,0.5093258321387024,0.9627105937361315,57.4
3,8,8,0.08,0.5,0.0,0.5,0.8,0.6,0.8131518350291851,0.7657733896056718,0.9066730887857968,0.7196305812725732,0.5146058584248074,0.9597679914415295,50.8
17,8,20,0.05,0.5,0.05,0.1,0.9,1.0,0.8128180466415216,0.7611067373466995,0.9148908662255684,0.7107452270574747,0.5091701184452608,0.9624144668664636,84.6
